T1, 3, 30, 19, 0
T2, 2, 13, 94, 1
T2.1, 4, 27, 96, 0
T3, 4, 2, 52, 0
T4, 2, 12, 14, 1
T4.1, 4, 30, 59, 0
T5, 4, 9, 25, 1
T5.1, 5, 25, 39, 0
T6, 5, 34, 75, 2
T6.1, 5, 12, 77, 0
T6.2, 5, 27, 78, 0
T7, 3, 36, 84, 0
T8, 5, 48, 100, 2
T8.1, 5, 22, 100, 0
T8.2, 5, 31, 100, 0
T9, 3, 35, 19, 1
T9.1, 4, 27, 62, 0
T10, 4, 14, 36, 2
T10.1, 5, 17, 82, 0
T10.2, 5, 50, 97, 0
T11, 4, 21, 31, 1
T11.1, 4, 8, 68, 0
T12, 3, 25, 46, 1
T12.1, 4, 27, 70, 0
T13, 3, 22, 97, 3
T13.1, 5, 21, 98, 0
T13.2, 5, 21, 100, 0
T13.3, 5, 34, 100, 0
T14, 2, 9, 38, 3
T14.1, 4, 44, 45, 0
T14.2, 4, 45, 90, 0
T14.3, 4, 5, 96, 0
T15, 5, 44, 19, 3
T15.1, 5, 27, 32, 0
T15.2, 5, 49, 77, 0
T15.3, 5, 4, 97, 0
T16, 1, 48, 49, 3
T16.1, 3, 46, 98, 0
T16.2, 5, 32, 99, 0
T16.3, 5, 10, 99, 0
T17, 1, 20, 64, 3
T17.1, 5, 8, 73, 0
T17.2, 5, 20, 84, 0
T17.3, 5, 21, 89, 0
